District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Sha Tin,"Banyan House, Kwong Yuen Estate",,6848
Wong Tai Sin,Pak Lok Building,,6849
Yuen Long,Fung Kong Tsuen,,6852
Yuen Long,El Castillo,,6853
Sai Kung,"Tower 12, Ocean Shores,",,6854
Kwun Tong,"Block M, Amoy Gardens",,6855
Kwai Tsing,"Wah Chi Court, Wah Yuen Chuen",,6856
Sham Shui Po,36 Fuk Wing Street,,6857
Islands,"Block 9, Tung Chung Crescent",,6858
Kwai Tsing,"Chin Kwai House, Kwai Chung Estate",,6859
Kwai Tsing,"Chin Kwai House, Kwai Chung Estate",,6860
Yuen Long,"Sau Ping House, Long Ping Estate",,6861
Yau Tsim Mong,Chungking Mansions Tower A,,6862
Eastern,"Tower 3, Harbour Glory",,6863
Eastern,Chai Wan Police Married Quarters Block 2,,6864
Yau Tsim Mong,Yee Hing Court,,6865
Wong Tai Sin,"Block 1, Hsin Kuang Centre",,6866
Sham Shui Po,37 Un Chau Street,,6867
Kwai Tsing,"Hiu Kwai House, Kwai Chung Estate",,6868
Kwai Tsing,"Block 8, Kwai Shing West Estate",,6869
Sai Kung,"Block 7, Beverly Garden",,6870
Yau Tsim Mong,Tai Kok Tsui Building,,6871
Tai Po,"Block 8, Classical Gardens",,6872
Wong Tai Sin,"Lung Gut House, Lower Wong Tai Sin (II) Estate",,6873
Kwun Tong,"Block C, Connie Towers",,6874
Tai Po,"Kwong Chi House, Kwong Fuk Estate",,6875
Tai Po,"Heng Tai House, Fu Heng Estate",,6876
Tai Po,"Kwong Chi House, Kwong Fuk Estate",,6877
Sai Kung,Ho Ming Court,,6878
Sham Shui Po,"Lai Chak House, Chak On Estate",,6879
Southern,"Tower 6, Phase 2 South Towers, Residence Bel-Air",,6880
Southern,"Tower 6, Phase 2 South Towers, Residence Bel-Air",,6881
Kwun Tong,"Choi Lok House, Choi Fook Estate",,6882
Kwai Tsing,Ching Nga Court,,6883
Yau Tsim Mong,Mirador Mansion,,6884
Sham Shui Po,66 Un Chau Street,,6885
